aglomerados,x,ds,cv
Aglomerado Ciudad de Buenos Aires ,24000,7271,30.3
Aglomerado Ciudad de Buenos Aires ,28000,7848,28
Aglomerado Ciudad de Buenos Aires ,32000,8385,26.2
Aglomerado Ciudad de Buenos Aires ,36000,8887,24.7
Aglomerado Ciudad de Buenos Aires ,40000,9362,23.4
Aglomerado Ciudad de Buenos Aires ,44000,9812,22.3
Aglomerado Ciudad de Buenos Aires ,48000,10241,21.3
Aglomerado Ciudad de Buenos Aires ,52000,10652,20.5
Aglomerado Ciudad de Buenos Aires ,56000,11047,19.7
Aglomerado Ciudad de Buenos Aires ,60000,11427,19
Aglomerado Ciudad de Buenos Aires ,70000,12321,17.6
Aglomerado Ciudad de Buenos Aires ,80000,13150,16.4
Aglomerado Ciudad de Buenos Aires ,100000,14651,14.7
Aglomerado Ciudad de Buenos Aires ,150000,17788,11.9
Aglomerado Ciudad de Buenos Aires ,200000,20359,10.2
Aglomerado Ciudad de Buenos Aires ,300000,24484,8.2
Aglomerado Ciudad de Buenos Aires ,400000,27742,6.9
Aglomerado Ciudad de Buenos Aires ,500000,30412,6.1
Aglomerado Ciudad de Buenos Aires ,600000,32640,5.4
Aglomerado Ciudad de Buenos Aires ,700000,34511,4.9
Aglomerado Ciudad de Buenos Aires ,800000,36080,4.5
Aglomerado Ciudad de Buenos Aires ,900000,37387,4.2
Aglomerado Partidos del GBA ,16000,6168,38.6
Aglomerado Partidos del GBA ,20000,6895,34.5
Aglomerado Partidos del GBA ,24000,7551,31.5
Aglomerado Partidos del GBA ,28000,8155,29.1
Aglomerado Partidos del GBA ,32000,8716,27.2
Aglomerado Partidos del GBA ,36000,9243,25.7
Aglomerado Partidos del GBA ,40000,9741,24.4
Aglomerado Partidos del GBA ,44000,10214,23.2
Aglomerado Partidos del GBA ,48000,10666,22.2
Aglomerado Partidos del GBA ,52000,11100,21.3
Aglomerado Partidos del GBA ,56000,11516,20.6
Aglomerado Partidos del GBA ,60000,11918,19.9
Aglomerado Partidos del GBA ,70000,12867,18.4
Aglomerado Partidos del GBA ,80000,13748,17.2
Aglomerado Partidos del GBA ,100000,15355,15.4
Aglomerado Partidos del GBA ,120000,16804,14
Aglomerado Partidos del GBA ,140000,18132,13
Aglomerado Partidos del GBA ,160000,19365,12.1
Aglomerado Partidos del GBA ,180000,20519,11.4
Aglomerado Partidos del GBA ,200000,21607,10.8
Aglomerado Partidos del GBA ,300000,26328,8.8
Aglomerado Partidos del GBA ,400000,30245,7.6
Aglomerado Partidos del GBA ,500000,33639,6.7
Aglomerado Partidos del GBA ,600000,36657,6.1
Aglomerado Partidos del GBA ,700000,39384,5.6
Aglomerado Partidos del GBA ,800000,41878,5.2
Aglomerado Partidos del GBA ,1000000,46313,4.6
Aglomerado Partidos del GBA ,1500000,55135,3.7
Aglomerado Partidos del GBA ,2000000,61777,3.1
Aglomerado Partidos del GBA ,2500000,66893,2.7
Aglomerado Mar del Plata - Batán ,6000,2199,36.6
Aglomerado Mar del Plata - Batán ,8000,2535,31.7
Aglomerado Mar del Plata - Batán ,12000,3094,25.8
Aglomerado Mar del Plata - Batán ,16000,3561,22.3
Aglomerado Mar del Plata - Batán ,20000,3968,19.8
Aglomerado Mar del Plata - Batán ,24000,4332,18.1
Aglomerado Mar del Plata - Batán ,28000,4664,16.7
Aglomerado Mar del Plata - Batán ,32000,4969,15.5
Aglomerado Mar del Plata - Batán ,36000,5252,14.6
Aglomerado Mar del Plata - Batán ,40000,5517,13.8
Aglomerado Mar del Plata - Batán ,44000,5767,13.1
Aglomerado Mar del Plata - Batán ,48000,6002,12.5
Aglomerado Mar del Plata - Batán ,52000,6225,12
Aglomerado Mar del Plata - Batán ,56000,6437,11.5
Aglomerado Mar del Plata - Batán ,60000,6640,11.1
Aglomerado Mar del Plata - Batán ,70000,7107,10.2
Aglomerado Mar del Plata - Batán ,80000,7528,9.4
Aglomerado Mar del Plata - Batán ,100000,8259,8.3
Aglomerado Mar del Plata - Batán ,120000,8871,7.4
Aglomerado Mar del Plata - Batán ,140000,9388,6.7
Aglomerado Mar del Plata - Batán ,160000,9825,6.1
Aglomerado Mar del Plata - Batán ,180000,10191,5.7
Aglomerado Mar del Plata - Batán ,200000,10494,5.2
Aglomerado Mar del Plata - Batán ,300000,11214,3.7
Aglomerado Río Cuarto ,2000,713,35.6
Aglomerado Río Cuarto ,4000,1002,25
Aglomerado Río Cuarto ,6000,1219,20.3
Aglomerado Río Cuarto ,8000,1399,17.5
Aglomerado Río Cuarto ,12000,1691,14.1
Aglomerado Río Cuarto ,16000,1927,12
Aglomerado Río Cuarto ,20000,2125,10.6
Aglomerado Río Cuarto ,24000,2296,9.6
Aglomerado Río Cuarto ,28000,2444,8.7
Aglomerado Río Cuarto ,32000,2574,8
Aglomerado Río Cuarto ,36000,2689,7.5
Aglomerado Río Cuarto ,40000,2790,7
Aglomerado Río Cuarto ,44000,2879,6.5
Aglomerado Río Cuarto ,48000,2956,6.2
Aglomerado Río Cuarto ,52000,3024,5.8
Aglomerado Río Cuarto ,56000,3082,5.5
Aglomerado Río Cuarto ,60000,3130,5.2
Aglomerado Río Cuarto ,70000,3215,4.6
Aglomerado Río Cuarto ,80000,3251,4.1
Aglomerado Río Cuarto ,100000,3175,3.2
Aglomerado San Nicolás – Villa Constitución ,2000,586,29.3
Aglomerado San Nicolás – Villa Constitución ,4000,825,20.6
Aglomerado San Nicolás – Villa Constitución ,6000,1004,16.7
Aglomerado San Nicolás – Villa Constitución ,8000,1153,14.4
Aglomerado San Nicolás – Villa Constitución ,12000,1395,11.6
Aglomerado San Nicolás – Villa Constitución ,16000,1592,9.9
Aglomerado San Nicolás – Villa Constitución ,20000,1758,8.8
Aglomerado San Nicolás – Villa Constitución ,24000,1901,7.9
Aglomerado San Nicolás – Villa Constitución ,28000,2027,7.2
Aglomerado San Nicolás – Villa Constitución ,32000,2139,6.7
Aglomerado San Nicolás – Villa Constitución ,36000,2237,6.2
Aglomerado San Nicolás – Villa Constitución ,40000,2325,5.8
Aglomerado San Nicolás – Villa Constitución ,44000,2404,5.5
Aglomerado San Nicolás – Villa Constitución ,48000,2473,5.2
Aglomerado San Nicolás – Villa Constitución ,52000,2535,4.9
Aglomerado San Nicolás – Villa Constitución ,56000,2589,4.6
Aglomerado San Nicolás – Villa Constitución ,60000,2637,4.4
Aglomerado San Nicolás – Villa Constitución ,70000,2726,3.9
Aglomerado San Nicolás – Villa Constitución ,80000,2779,3.5
Aglomerado San Nicolás – Villa Constitución ,100000,2778,2.8
Aglomerado Rawson – Trelew ,2000,504,25.2
Aglomerado Rawson – Trelew ,4000,707,17.7
Aglomerado Rawson – Trelew ,6000,859,14.3
Aglomerado Rawson – Trelew ,8000,984,12.3
Aglomerado Rawson – Trelew ,12000,1185,9.9
Aglomerado Rawson – Trelew ,16000,1345,8.4
Aglomerado Rawson – Trelew ,20000,1476,7.4
Aglomerado Rawson – Trelew ,24000,1587,6.6
Aglomerado Rawson – Trelew ,28000,1682,6
Aglomerado Rawson – Trelew ,32000,1762,5.5
Aglomerado Rawson – Trelew ,36000,1830,5.1
Aglomerado Rawson – Trelew ,40000,1887,4.7
Aglomerado Rawson – Trelew ,44000,1934,4.4
Aglomerado Rawson – Trelew ,48000,1972,4.1
Aglomerado Rawson – Trelew ,52000,2002,3.8
Aglomerado Rawson – Trelew ,56000,2023,3.6
Aglomerado Rawson – Trelew ,60000,2036,3.4
Aglomerado Viedma – Carmen de Patagones ,2000,399,19.9
Aglomerado Viedma – Carmen de Patagones ,4000,556,13.9
Aglomerado Viedma – Carmen de Patagones ,6000,672,11.2
Aglomerado Viedma – Carmen de Patagones ,8000,764,9.6
Aglomerado Viedma – Carmen de Patagones ,12000,908,7.6
Aglomerado Viedma – Carmen de Patagones ,16000,1016,6.3
Aglomerado Viedma – Carmen de Patagones ,20000,1097,5.5
Aglomerado Viedma – Carmen de Patagones ,24000,1159,4.8
Aglomerado Viedma – Carmen de Patagones ,28000,1203,4.3
Aglomerado Viedma – Carmen de Patagones ,32000,1232,3.8
