codigo,aglo,estimacion,periodo,variable,value
32,Ciudad de Bs. As.,407000,201403,cv,4.1
32,Ciudad de Bs. As.,467000,201403,desvio,17935
32,Ciudad de Bs. As.,467000,201403,cv,3.8
32,Ciudad de Bs. As.,567000,201403,desvio,19589
32,Ciudad de Bs. As.,567000,201403,cv,3.5
32,Ciudad de Bs. As.,717000,201403,desvio,21795
32,Ciudad de Bs. As.,717000,201403,cv,3
32,Ciudad de Bs. As.,867000,201403,desvio,23760
32,Ciudad de Bs. As.,867000,201403,cv,2.7
32,Ciudad de Bs. As.,1022000,201403,desvio,25605
32,Ciudad de Bs. As.,1022000,201403,cv,2.5
32,Ciudad de Bs. As.,1177000,201403,desvio,27303
32,Ciudad de Bs. As.,1177000,201403,cv,2.3
32,Ciudad de Bs. As.,1332000,201403,desvio,28882
32,Ciudad de Bs. As.,1332000,201403,cv,2.2
32,Ciudad de Bs. As.,1487000,201403,desvio,30364
32,Ciudad de Bs. As.,1487000,201403,cv,2
32,Ciudad de Bs. As.,1642000,201403,desvio,31764
32,Ciudad de Bs. As.,1642000,201403,cv,1.9
32,Ciudad de Bs. As.,1797000,201403,desvio,33094
32,Ciudad de Bs. As.,1797000,201403,cv,1.8
22,Gran Catamarca,2000,201403,desvio,750
22,Gran Catamarca,2000,201403,cv,37.5
22,Gran Catamarca,3000,201403,desvio,834
22,Gran Catamarca,3000,201403,cv,27.8
22,Gran Catamarca,4000,201403,desvio,900
22,Gran Catamarca,4000,201403,cv,22.5
22,Gran Catamarca,5000,201403,desvio,955
22,Gran Catamarca,5000,201403,cv,19.1
22,Gran Catamarca,6000,201403,desvio,1002
22,Gran Catamarca,6000,201403,cv,16.7
22,Gran Catamarca,7000,201403,desvio,1043
22,Gran Catamarca,7000,201403,cv,14.9
22,Gran Catamarca,8000,201403,desvio,1081
22,Gran Catamarca,8000,201403,cv,13.5
22,Gran Catamarca,9000,201403,desvio,1115
22,Gran Catamarca,9000,201403,cv,12.4
22,Gran Catamarca,10000,201403,desvio,1146
22,Gran Catamarca,10000,201403,cv,11.5
22,Gran Catamarca,12000,201403,desvio,1203
22,Gran Catamarca,12000,201403,cv,10
22,Gran Catamarca,14000,201403,desvio,1253
22,Gran Catamarca,14000,201403,cv,8.9
22,Gran Catamarca,17000,201403,desvio,1319
22,Gran Catamarca,17000,201403,cv,7.8
22,Gran Catamarca,20000,201403,desvio,1376
22,Gran Catamarca,20000,201403,cv,6.9
22,Gran Catamarca,23000,201403,desvio,1428
22,Gran Catamarca,23000,201403,cv,6.2
22,Gran Catamarca,26000,201403,desvio,1475
22,Gran Catamarca,26000,201403,cv,5.7
22,Gran Catamarca,29000,201403,desvio,1518
22,Gran Catamarca,29000,201403,cv,5.2
22,Gran Catamarca,32000,201403,desvio,1558
22,Gran Catamarca,32000,201403,cv,4.9
22,Gran Catamarca,37000,201403,desvio,1619
22,Gran Catamarca,37000,201403,cv,4.4
22,Gran Catamarca,42000,201403,desvio,1674
22,Gran Catamarca,42000,201403,cv,4
22,Gran Catamarca,52000,201403,desvio,1771
22,Gran Catamarca,52000,201403,cv,3.4
22,Gran Catamarca,62000,201403,desvio,1855
22,Gran Catamarca,62000,201403,cv,3
22,Gran Catamarca,72000,201403,desvio,1930
22,Gran Catamarca,72000,201403,cv,2.7
22,Gran Catamarca,92000,201403,desvio,2059
22,Gran Catamarca,92000,201403,cv,2.2
22,Gran Catamarca,112000,201403,desvio,2168
22,Gran Catamarca,112000,201403,cv,1.9
22,Gran Catamarca,132000,201403,desvio,2265
22,Gran Catamarca,132000,201403,cv,1.7
9,Cdro. Rivadavia - R. Tilly,4000,201403,desvio,1114
9,Cdro. Rivadavia - R. Tilly,4000,201403,cv,27.8
9,Cdro. Rivadavia - R. Tilly,5000,201403,desvio,1174
9,Cdro. Rivadavia - R. Tilly,5000,201403,cv,23.5
9,Cdro. Rivadavia - R. Tilly,6000,201403,desvio,1226
9,Cdro. Rivadavia - R. Tilly,6000,201403,cv,20.4
9,Cdro. Rivadavia - R. Tilly,7000,201403,desvio,1272
9,Cdro. Rivadavia - R. Tilly,7000,201403,cv,18.2
9,Cdro. Rivadavia - R. Tilly,8000,201403,desvio,1313
9,Cdro. Rivadavia - R. Tilly,8000,201403,cv,16.4
9,Cdro. Rivadavia - R. Tilly,9000,201403,desvio,1351
9,Cdro. Rivadavia - R. Tilly,9000,201403,cv,15
9,Cdro. Rivadavia - R. Tilly,10000,201403,desvio,1385
9,Cdro. Rivadavia - R. Tilly,10000,201403,cv,13.9
9,Cdro. Rivadavia - R. Tilly,11000,201403,desvio,1417
9,Cdro. Rivadavia - R. Tilly,11000,201403,cv,12.9
9,Cdro. Rivadavia - R. Tilly,13000,201403,desvio,1475
9,Cdro. Rivadavia - R. Tilly,13000,201403,cv,11.3
9,Cdro. Rivadavia - R. Tilly,15000,201403,desvio,1526
9,Cdro. Rivadavia - R. Tilly,15000,201403,cv,10.2
9,Cdro. Rivadavia - R. Tilly,17000,201403,desvio,1572
9,Cdro. Rivadavia - R. Tilly,17000,201403,cv,9.2
9,Cdro. Rivadavia - R. Tilly,19000,201403,desvio,1614
9,Cdro. Rivadavia - R. Tilly,19000,201403,cv,8.5
9,Cdro. Rivadavia - R. Tilly,21000,201403,desvio,1653
9,Cdro. Rivadavia - R. Tilly,21000,201403,cv,7.9
9,Cdro. Rivadavia - R. Tilly,24000,201403,desvio,1706
9,Cdro. Rivadavia - R. Tilly,24000,201403,cv,7.1
9,Cdro. Rivadavia - R. Tilly,27000,201403,desvio,1755
9,Cdro. Rivadavia - R. Tilly,27000,201403,cv,6.5
9,Cdro. Rivadavia - R. Tilly,30000,201403,desvio,1800
9,Cdro. Rivadavia - R. Tilly,30000,201403,cv,6
9,Cdro. Rivadavia - R. Tilly,33000,201403,desvio,1841
9,Cdro. Rivadavia - R. Tilly,33000,201403,cv,5.6
9,Cdro. Rivadavia - R. Tilly,36000,201403,desvio,1880
9,Cdro. Rivadavia - R. Tilly,36000,201403,cv,5.2
9,Cdro. Rivadavia - R. Tilly,42000,201403,desvio,1950
9,Cdro. Rivadavia - R. Tilly,42000,201403,cv,4.6
9,Cdro. Rivadavia - R. Tilly,48000,201403,desvio,2013
9,Cdro. Rivadavia - R. Tilly,48000,201403,cv,4.2
9,Cdro. Rivadavia - R. Tilly,60000,201403,desvio,2123
9,Cdro. Rivadavia - R. Tilly,60000,201403,cv,3.5
9,Cdro. Rivadavia - R. Tilly,72000,201403,desvio,2217
9,Cdro. Rivadavia - R. Tilly,72000,201403,cv,3.1
9,Cdro. Rivadavia - R. Tilly,84000,201403,desvio,2300
9,Cdro. Rivadavia - R. Tilly,84000,201403,cv,2.7
9,Cdro. Rivadavia - R. Tilly,96000,201403,desvio,2374
9,Cdro. Rivadavia - R. Tilly,96000,201403,cv,2.5
9,Cdro. Rivadavia - R. Tilly,108000,201403,desvio,2442
9,Cdro. Rivadavia - R. Tilly,108000,201403,cv,2.3
9,Cdro. Rivadavia - R. Tilly,120000,201403,desvio,2504
9,Cdro. Rivadavia - R. Tilly,120000,201403,cv,2.1
9,Cdro. Rivadavia - R. Tilly,132000,201403,desvio,2561
9,Cdro. Rivadavia - R. Tilly,132000,201403,cv,1.9
14,Concordia,3000,201403,desvio,811
14,Concordia,3000,201403,cv,27
14,Concordia,4000,201403,desvio,862
14,Concordia,4000,201403,cv,21.6
14,Concordia,5000,201403,desvio,905
14,Concordia,5000,201403,cv,18.1
14,Concordia,6000,201403,desvio,940
14,Concordia,6000,201403,cv,15.7
14,Concordia,7000,201403,desvio,972
14,Concordia,7000,201403,cv,13.9
14,Concordia,8000,201403,desvio,1000
14,Concordia,8000,201403,cv,12.5
14,Concordia,9000,201403,desvio,1025
14,Concordia,9000,201403,cv,11.4
14,Concordia,10000,201403,desvio,1049
14,Concordia,10000,201403,cv,10.5
14,Concordia,12000,201403,desvio,1090
14,Concordia,12000,201403,cv,9.1
14,Concordia,14000,201403,desvio,1127
14,Concordia,14000,201403,cv,8
14,Concordia,16000,201403,desvio,1159
14,Concordia,16000,201403,cv,7.2
14,Concordia,18000,201403,desvio,1189
14,Concordia,18000,201403,cv,6.6
14,Concordia,20000,201403,desvio,1216
14,Concordia,20000,201403,cv,6.1
14,Concordia,22000,201403,desvio,1241
14,Concordia,22000,201403,cv,5.6
14,Concordia,24000,201403,desvio,1264
14,Concordia,24000,201403,cv,5.3
14,Concordia,28000,201403,desvio,1306
14,Concordia,28000,201403,cv,4.7
14,Concordia,32000,201403,desvio,1344
14,Concordia,32000,201403,cv,4.2
14,Concordia,36000,201403,desvio,1378
14,Concordia,36000,201403,cv,3.8
14,Concordia,40000,201403,desvio,1409
14,Concordia,40000,201403,cv,3.5
14,Concordia,44000,201403,desvio,1438
14,Concordia,44000,201403,cv,3.3
14,Concordia,48000,201403,desvio,1465
14,Concordia,48000,201403,cv,3.1
14,Concordia,56000,201403,desvio,1514
14,Concordia,56000,201403,cv,2.7
14,Concordia,64000,201403,desvio,1558
14,Concordia,64000,201403,cv,2.4
14,Concordia,72000,201403,desvio,1597
14,Concordia,72000,201403,cv,2.2
